CustomerID,Name,Age,Annual_Income,Spending_Score,Membership_Level,Purchase_Frequency,Membership_upgrade,Avg_Order_Value,Weekend_Order_Ratio,App_Rating,Avg_Delivery_Tips,Discount_Usage_Freq,Total_Cuisines_Tried,Avg_Delivery_Time,Last_Month_Complaints,Income_per_Order,Tip_to_Order_Ratio,Complaints_per_Order,High_Value,Low_Rating,Gender_num,Gender_Male,Preferred_Cuisine_Chinese,Preferred_Cuisine_Healthy,Preferred_Cuisine_Indian,Preferred_Cuisine_Italian,Preferred_Cuisine_Mexican,Preferred_Cuisine_Pizza,Preferred_Cuisine_Thai
CUST1000,Connor Rowland,40,52777,27,2,5.2,0.0,46.16,0.55,3,5.37,2,8,32.4,0,8512.41935483871,0.11633448873483537,0.0,0,0,Female,False,False,False,True,False,False,False,False
CUST1001,Cameron Miles MD,28,65910,84,0,12.2,0.0,95.62,0.6,4,8.33,1,6,41.1,1,4993.181818181818,0.08711566617862372,0.07575757575757576,0,0,Female,False,False,True,False,False,False,False,False
CUST1002,Dennis Price,63,56731,51,1,2.9,1.0,69.89,0.44,4,8.01,0,5,47.3,0,14546.410256410256,0.11460867076835025,0.0,0,0,Male,True,True,False,False,False,False,False,False
CUST1003,Jessica Jones,23,40559,56,3,11.1,0.0,44.56,0.55,5,3.82,0,9,32.2,0,3351.9834710743803,0.08572710951526032,0.0,0,0,Female,False,False,True,False,False,False,False,False
CUST1004,Kevin Bauer,38,79675,74,0,10.7,0.0,52.27,0.28,3,6.14,1,2,37.7,0,6809.8290598290605,0.11746699827817102,0.0,0,0,Male,True,False,False,True,False,False,False,False
CUST1005,Carol Alvarez,34,67437,20,1,5.7,0.0,44.24,0.66,5,5.44,1,7,32.5,0,10065.223880597016,0.12296564195298373,0.0,0,0,Female,False,False,False,False,False,False,True,False
CUST1006,Alex Cunningham,49,62752,44,1,8.6,1.0,35.02,0.55,3,4.17,2,6,40.1,0,6536.666666666667,0.11907481439177611,0.0,0,0,Male,True,False,False,False,False,False,False,True
CUST1007,Dennis Hill,41,63584,90,1,3.8,0.0,86.87,0.47,5,5.33,0,7,20.3,0,13246.666666666668,0.061356049269022675,0.0,0,0,Female,False,False,False,False,False,True,False,False
CUST1008,Kayla Jacobson,51,79024,100,3,10.8,0.0,87.01,0.42,4,10.07,2,4,41.2,1,6696.949152542373,0.11573382369842547,0.0847457627118644,1,0,Male,True,False,False,False,False,False,False,True
CUST1009,Kevin Barrera,55,25376,70,2,14.1,0.0,30.66,0.54,4,2.39,1,9,37.8,0,1680.5298013245033,0.07795172863666015,0.0,0,0,Male,True,False,False,False,False,False,False,True
CUST1010,Stephanie Acevedo,32,73544,50,3,10.4,1.0,38.29,0.59,4,2.02,1,7,25.4,0,6451.228070175438,0.05275528858709846,0.0,0,0,Female,False,False,False,False,False,False,True,False
CUST1011,Kimberly Jacobs,58,41485,97,0,7.7,0.0,60.98,0.37,3,5.58,2,2,57.1,0,4768.390804597701,0.09150541161036406,0.0,0,0,Female,False,False,True,False,False,False,False,False
CUST1012,William Kennedy,34,61485,81,0,2.2,0.0,81.93,0.67,3,7.65,2,4,21.4,0,19214.0625,0.09337239106554375,0.0,0,0,Female,False,False,False,False,False,True,False,False
CUST1013,Kelly Frazier,58,49830,7,1,2.7,1.0,35.5,0.52,2,3.43,0,5,38.3,0,13467.567567567567,0.09661971830985916,0.0,0,0,Female,False,False,False,False,True,False,False,False
CUST1014,Ronnie Mitchell,21,48887,29,3,6.5,1.0,33.33,0.47,2,4.02,0,2,25.4,0,6518.266666666666,0.1206120612061206,0.0,0,0,Female,False,False,False,False,False,False,False,False
CUST1016,Daniel Ward,66,62652,61,2,10.9,0.0,50.39,0.72,5,4.11,1,8,55.0,0,5264.873949579832,0.08156380234173448,0.0,0,0,Male,True,False,False,True,False,False,False,False
CUST1017,Mary Wise,60,73290,37,0,7.4,0.0,75.1,0.47,4,4.21,1,1,42.8,0,8725.0,0.056058588548601865,0.0,0,0,Male,True,False,False,False,True,False,False,False
CUST1020,Chris Floyd,49,60834,33,0,13.6,0.0,67.64,0.26,4,5.75,1,5,29.1,0,4166.712328767124,0.08500887049083383,0.0,0,0,Female,False,False,False,False,False,False,False,True
CUST1022,Mary Brown,22,69983,7,2,7.3,0.0,55.44,0.52,4,5.75,2,7,35.9,0,8431.68674698795,0.10371572871572872,0.0,0,0,Female,False,False,False,True,False,False,False,False
CUST1023,Thomas Farmer,43,72742,22,2,3.8,1.0,63.02,0.4,3,6.11,2,9,22.8,0,15154.583333333334,0.09695334814344653,0.0,0,0,Female,False,False,False,False,False,True,False,False
CUST1024,Dominique Miller,31,36426,75,1,9.8,1.0,34.83,0.53,4,3.52,1,2,52.1,0,3372.7777777777774,0.10106230261269021,0.0,0,0,Male,True,False,False,False,False,True,False,False
CUST1025,Rachel Little,26,49862,30,2,6.4,0.0,64.08,0.41,4,7.28,0,8,47.4,0,6738.108108108107,0.11360799001248441,0.0,0,0,Female,False,True,False,False,False,False,False,False
CUST1026,Christopher Anderson,69,52327,82,0,3.1,0.0,36.61,0.49,1,4.25,1,8,26.4,0,12762.68292682927,0.11608850040972413,0.0,0,0,Female,False,False,False,False,True,False,False,False
CUST1027,Antonio Freeman,30,44048,45,3,14.3,0.0,44.67,0.58,1,3.52,1,6,45.3,0,2878.954248366013,0.0788000895455563,0.0,0,0,Male,True,False,False,False,False,False,False,False
CUST1028,Virginia Lin,60,75712,7,1,7.8,1.0,82.71,0.4,2,5.3,0,3,23.2,0,8603.636363636362,0.0640793132632088,0.0,0,0,Female,False,False,False,True,False,False,False,False
CUST1029,David Jones,44,43151,81,2,10.3,0.0,23.58,0.5,3,1.55,2,2,39.6,0,3818.672566371681,0.06573367260390162,0.0,0,0,Male,True,False,False,False,False,True,False,False
CUST1030,Sharon Sanders,48,31711,23,1,12.5,1.0,35.12,0.7,4,4.0,2,8,35.5,0,2348.962962962963,0.11389521640091117,0.0,0,0,Female,False,False,False,False,True,False,False,False
CUST1031,Michael Watkins,30,41205,33,1,6.4,1.0,27.63,0.4,4,3.79,1,6,51.8,0,5568.243243243243,0.13716974303293522,0.0,0,0,Female,False,True,False,False,False,False,False,False
CUST1032,John Boyd,45,55618,44,1,5.1,1.0,31.43,0.38,2,2.86,1,4,38.3,0,9117.704918032787,0.09099586382437162,0.0,0,0,Male,True,False,True,False,False,False,False,False
CUST1033,Justin Wilson,32,81396,69,1,2.2,0.0,117.93,0.46,4,7.9,0,5,19.5,0,25436.25,0.06698889171542441,0.0,0,0,Male,True,False,False,False,False,False,True,False
CUST1034,Mr. Charles Harper,34,78130,89,2,9.5,0.0,114.51,0.27,4,14.39,1,5,45.2,0,7440.952380952381,0.12566588070910836,0.0,1,0,Male,True,False,True,False,False,False,False,False
CUST1035,Brandi Hamilton,21,71818,34,1,9.6,0.0,93.97,0.77,3,12.52,1,9,30.6,0,6775.2830188679245,0.13323401085452805,0.0,0,0,Male,True,False,True,False,False,False,False,False
CUST1036,Thomas Torres,67,51439,98,3,7.7,0.0,41.39,0.35,1,5.71,0,9,30.1,0,5912.528735632184,0.13795602802609325,0.0,0,0,Female,False,False,False,False,False,True,False,False
CUST1037,Todd Duran,39,51647,12,1,3.0,1.0,30.87,0.74,2,3.42,0,8,35.3,0,12911.75,0.1107871720116618,0.0,0,0,Male,True,False,False,False,False,False,False,True
CUST1038,Patrick Davis,26,54216,8,1,11.6,0.0,64.2,0.3,4,8.74,0,8,29.3,0,4302.857142857143,0.13613707165109035,0.0,0,0,Female,False,False,False,False,False,False,False,True
CUST1039,Kayla Bauer,18,71183,18,2,12.3,0.0,66.92,0.5,3,3.45,0,2,52.9,0,5352.105263157894,0.05155409444112373,0.0,0,0,Male,True,True,False,False,False,False,False,False
CUST1040,Connor Torres,34,69622,74,0,14.4,0.0,43.31,0.55,4,2.63,1,3,43.1,0,4520.909090909091,0.06072500577233895,0.0,0,0,Female,False,False,False,True,False,False,False,False
CUST1041,Jennifer Beck,43,54506,100,1,3.0,1.0,54.24,0.54,4,3.21,1,8,23.6,1,13626.5,0.059181415929203535,0.25,0,0,Male,True,False,False,False,False,False,False,True
CUST1043,Ashley Luna,61,64071,88,2,12.2,0.0,90.3,0.49,3,5.14,0,7,21.9,0,4853.863636363637,0.056921373200442965,0.0,0,0,Male,True,False,False,False,False,False,False,True
CUST1044,Rhonda Mckinney,53,62762,17,2,9.1,0.0,47.62,0.45,3,4.74,1,8,44.7,0,6214.059405940594,0.09953800923981522,0.0,0,0,Female,False,False,True,False,False,False,False,False
CUST1045,Sandra Garner,67,47056,88,0,14.5,0.0,54.7,0.58,4,5.32,2,6,34.3,0,3035.8709677419356,0.09725776965265082,0.0,0,0,Female,False,False,False,False,False,False,False,False
CUST1046,Molly Reyes,29,45600,42,0,1.2,0.0,37.01,0.58,5,3.0,1,5,25.2,0,20727.272727272724,0.0810591731964334,0.0,0,0,Female,False,False,False,False,False,True,False,False
CUST1047,Edward Pearson,18,44377,69,2,8.7,1.0,45.27,0.48,5,6.2,2,8,50.7,0,4574.948453608248,0.13695604152860613,0.0,0,0,Male,True,False,False,False,False,True,False,False
CUST1048,Ricardo Garcia,39,55556,81,2,5.3,0.0,58.15,0.66,4,3.9,1,1,40.0,0,8818.412698412698,0.06706792777300086,0.0,0,0,Male,True,False,False,True,False,False,False,False
CUST1050,Michael Hopkins,37,51315,57,3,12.1,1.0,75.41,0.51,4,9.61,0,1,36.4,0,3917.175572519084,0.12743667948547938,0.0,0,0,Male,True,False,False,False,False,False,False,True
CUST1051,Amanda Cardenas,43,54196,19,0,11.7,0.0,69.11,0.57,5,3.67,1,3,21.4,0,4267.40157480315,0.05310374764867602,0.0,0,0,Female,False,False,False,False,False,False,True,False
CUST1052,Daniel Krueger,24,70974,13,2,11.1,0.0,102.17,0.68,1,11.98,2,10,40.6,0,5865.619834710744,0.11725555446804346,0.0,0,0,Female,False,False,False,False,True,False,False,False
CUST1053,Rebekah Weber,57,49547,24,3,8.9,0.0,69.11,0.39,5,9.1,2,6,30.8,0,5004.747474747474,0.13167414267110403,0.0,0,0,Female,False,False,False,False,False,False,False,False
